"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-01","2010","01","01","","11.7","","1.7","","6.7","","11.3","","0.0","","18.6","","0.0","","18.6","","0","","18","","70",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-02","2010","01","02","","8.4","","6.9","","7.7","","10.3","","0.0","","21.7","","0.0","","21.7","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-03","2010","01","03","","7.7","","4.4","","6.1","","11.9","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-04","2010","01","04","","7.5","","5.2","","6.4","","11.6","","0.0","","25.0","","0.0","","25.0","","0","","6","","32",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-05","2010","01","05","","10.2","","5.4","","7.8","","10.2","","0.0","","0.2","","0.0","","0.2","","0","","5","","69",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-06","2010","01","06","","6.2","","1.8","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","5","","61",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-07","2010","01","07","","5.5","","-1.4","","2.1","","15.9","","0.0","","0.0","T","0.0","","0.0","T","0","","7","","37",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-08","2010","01","08","","6.1","","2.5","","4.3","","13.7","","0.0","","19.1","","0.0","","19.1","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-09","2010","01","09","","10.3","","4.5","","7.4","","10.6","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-10","2010","01","10","","10.1","","4.4","","7.3","","10.7","","0.0","","1.8","","0.0","","1.8","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-11","2010","01","11","","11.8","","8.2","","10.0","","8.0","","0.0","","36.1","","0.0","","36.1","","0","","15","","32",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-12","2010","01","12","","12.6","","8.8","","10.7","","7.3","","0.0","","18.6","","0.0","","18.6","","0","","16","","50",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-13","2010","01","13","","9.8","","6.9","","8.4","","9.6","","0.0","","3.2","","0.0","","3.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-14","2010","01","14","","9.6","","5.7","","7.7","","10.3","","0.0","","24.2","","0.0","","24.2","","0","","18","","33",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-15","2010","01","15","","11.2","","5.5","","8.4","","9.6","","0.0","","8.0","","0.0","","8.0","","0","","18","","69",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-16","2010","01","16","","8.6","","2.4","","5.5","","12.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-17","2010","01","17","","8.7","","4.2","","6.5","","11.5","","0.0","","5.4","","0.0","","5.4","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-18","2010","01","18","","13.8","","6.2","","10.0","","8.0","","0.0","","0.0","T","0.0","","0.0","T","0","","17","","63",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-19","2010","01","19","","12.1","","6.1","","9.1","","8.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-20","2010","01","20","","11.1","","5.1","","8.1","","9.9","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-21","2010","01","21","","12.6","","5.1","","8.9","","9.1","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-22","2010","01","22","","11.7","","3.4","","7.6","","10.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-23","2010","01","23","","7.6","","0.5","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-24","2010","01","24","","7.4","","0.8","","4.1","","13.9","","0.0","","4.6","","0.0","","4.6","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-25","2010","01","25","","7.8","","3.9","","5.9","","12.1","","0.0","","1.3","","0.0","","1.3","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-26","2010","01","26","","9.1","","-0.3","","4.4","","13.6","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-27","2010","01","27","","10.2","","0.7","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-28","2010","01","28","","9.9","","4.8","","7.4","","10.6","","0.0","","0.2","","0.0","","0.2","","0","","3","","35",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-29","2010","01","29","","11.7","","6.8","","9.3","","8.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-30","2010","01","30","","8.8","","6.2","","7.5","","10.5","","0.0","","7.6","","0.0","","7.6","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-01-31","2010","01","31","","9.8","","6.6","","8.2","","9.8","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-01","2010","02","01","","8.0","","4.0","","6.0","","12.0","","0.0","","4.3","","0.0","","4.3","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-02","2010","02","02","","9.2","","5.7","","7.5","","10.5","","0.0","","3.7","","0.0","","3.7","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-03","2010","02","03","","10.9","","2.5","","6.7","","11.3","","0.0","","0.6","","0.0","","0.6","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-04","2010","02","04","","12.6","","4.7","","8.7","","9.3","","0.0","","2.8","","0.0","","2.8","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-05","2010","02","05","","11.7","","6.4","","9.1","","8.9","","0.0","","8.0","","0.0","","8.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-06","2010","02","06","","13.7","","4.3","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-07","2010","02","07","","7.8","","5.2","","6.5","","11.5","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-08","2010","02","08","","11.9","","3.1","","7.5","","10.5","","0.0","","0.4","","0.0","","0.4","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-09","2010","02","09","","11.7","","-0.3","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-10","2010","02","10","","8.4","","0.6","","4.5","","13.5","","0.0","","0.6","","0.0","","0.6","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-11","2010","02","11","","8.4","","4.9","","6.7","","11.3","","0.0","","6.8","","0.0","","6.8","","0","","9","","35",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-12","2010","02","12","","11.9","","6.9","","9.4","","8.6","","0.0","","1.2","","0.0","","1.2","","0","","18","","56",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-13","2010","02","13","","9.9","","5.9","","7.9","","10.1","","0.0","","3.8","","0.0","","3.8","","0","","18","","37",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-14","2010","02","14","","11.6","","4.1","","7.9","","10.1","","0.0","","24.4","","0.0","","24.4","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-15","2010","02","15","","11.1","","3.5","","7.3","","10.7","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-16","2010","02","16","","12.4","","3.4","","7.9","","10.1","","0.0","","18.9","","0.0","","18.9","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-17","2010","02","17","","14.0","","1.3","","7.7","","10.3","","0.0","","0.0","","0.0","","0.0","","0","","5","","57",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-18","2010","02","18","","14.1","","6.7","","10.4","","7.6","","0.0","","0.0","","0.0","","0.0","","0","","6","","54",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-19","2010","02","19","","16.2","","3.2","","9.7","","8.3","","0.0","","0.0","","0.0","","0.0","","0","","4","","44",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-20","2010","02","20","","16.1","","0.8","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-21","2010","02","21","","13.5","","-0.9","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-22","2010","02","22","","14.4","","-1.7","","6.4","","11.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-23","2010","02","23","","9.6","","1.8","","5.7","","12.3","","0.0","","1.6","","0.0","","1.6","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-24","2010","02","24","","8.7","","4.9","","6.8","","11.2","","0.0","","17.2","","0.0","","17.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-25","2010","02","25","","13.1","","6.3","","9.7","","8.3","","0.0","","2.6","","0.0","","2.6","","0","","20","","44",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-26","2010","02","26","","8.6","","6.4","","7.5","","10.5","","0.0","","11.4","","0.0","","11.4","","0","","8","","35",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-27","2010","02","27","","10.2","","6.8","","8.5","","9.5","","0.0","","18.7","","0.0","","18.7","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-02-28","2010","02","28","","13.3","","7.3","","10.3","","7.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-01","2010","03","01","","14.0","","6.3","","10.2","","7.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-02","2010","03","02","","14.5","","7.0","","10.8","","7.2","","0.0","","1.0","","0.0","","1.0","","0","","23","","37",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-03","2010","03","03","","11.8","","3.5","","7.7","","10.3","","0.0","","1.2","","0.0","","1.2","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-04","2010","03","04","","12.5","","0.4","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-05","2010","03","05","","14.3","","3.1","","8.7","","9.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-06","2010","03","06","","15.6","","1.5","","8.6","","9.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-07","2010","03","07","","8.4","","0.7","","4.6","","13.4","","0.0","","9.4","","0.0","","9.4","","0","","27","","37",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-08","2010","03","08","","8.4","","-0.7","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-09","2010","03","09","","7.6","","-1.9","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-10","2010","03","10","","9.5","","2.4","","6.0","","12.0","","0.0","","0.6","","0.0","T","0.6","","0","","19","","44",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-11","2010","03","11","","8.0","","2.4","","5.2","","12.8","","0.0","","1.4","","0.0","","1.4","","0","","16","","56",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-12","2010","03","12","","9.7","","2.8","","6.3","","11.7","","0.0","","18.9","","0.0","","18.9","","0","","23","","61",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-13","2010","03","13","","12.0","","2.1","","7.1","","10.9","","0.0","","0.6","","0.0","","0.6","","0","","23","","32",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-14","2010","03","14","","10.4","","2.9","","6.7","","11.3","","0.0","","5.8","","0.0","","5.8","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-15","2010","03","15","","14.6","","5.4","","10.0","","8.0","","0.0","","2.3","","0.0","","2.3","","0","","4","","32",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-16","2010","03","16","","15.5","","8.2","","11.9","","6.1","","0.0","","4.2","","0.0","","4.2","","0","","18","","70",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-17","2010","03","17","","12.0","","2.2","","7.1","","10.9","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-18","2010","03","18","","12.6","","-0.4","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-19","2010","03","19","","16.4","","1.1","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-20","2010","03","20","","16.7","","2.5","","9.6","","8.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-21","2010","03","21","","12.8","","7.1","","10.0","","8.0","","0.0","","7.0","","0.0","","7.0","","0","","17","","56",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-22","2010","03","22","","12.7","","2.5","","7.6","","10.4","","0.0","","0.4","","0.0","","0.4","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-23","2010","03","23","","14.0","","6.1","","10.1","","7.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-24","2010","03","24","","18.6","","5.4","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.36","49.03","ABBOTSFORD A","1100030","2010-03-25","2010","03","25","","10.6","","7.3","","9.0","","9.0","","0.0","","10.2","","0.0","","10.2","","0","","","","<31",""
